Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date,latitude_real,longitude_real
5205 S WESTERN,,,,,,,,,0.755,dstk,41.799256,-87.684101,5205 S WESTERN,5205 S Western Ave,198806,2/6/2007 19:15,8570263,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,CHEV,30,TRUE,2/6/2007 19:15,41.799256,-87.684101
3740 W CERMAK RD,,,,,,,,,0.841,dstk,41.851695,-87.718789,3740 W CERMAK RD,3740 W Cermak Rd,198984,2/7/2007 2:37,DLVRDB,IL,TRK,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,NISS,30,TRUE,2/7/2007 2:37,41.851695,-87.718789
3740 W CERMAK RD,,,,,,,,,0.841,dstk,41.851695,-87.718789,3740 W CERMAK RD,3740 W Cermak Rd,2805191,2/7/2007 2:34,1760280,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,PONT,30,TRUE,2/7/2007 2:34,41.851695,-87.718789
3845 W CERMAK RD,,,,,,,,,0.841,dstk,41.851509,-87.721278,3845 W CERMAK RD,3845 W Cermak Rd,198985,2/7/2007 2:39,2931338,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,CHEV,30,TRUE,2/7/2007 2:39,41.851509,-87.721278
3815 W CERMAK RD,,,,,,,,,0.743,dstk,41.851525,-87.720326,3815 W CERMAK RD,3813 W Cermak Rd,198986,2/7/2007 2:41,9471005,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,CHEV,30,TRUE,2/7/2007 2:41,41.851525,-87.720326
3721 W CERMAK RD,,,,,,,,,0.841,dstk,41.851551,-87.718082,3721 W CERMAK RD,3721 W Cermak Rd,198987,2/7/2007 2:42,6587527,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,DODG,30,TRUE,2/7/2007 2:42,41.851551,-87.718082
3721 W CERMAK RD,,,,,,,,,0.841,dstk,41.851551,-87.718082,3721 W CERMAK RD,3721 W Cermak Rd,198988,2/7/2007 2:43,1437140,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,CHEV,30,TRUE,2/7/2007 2:43,41.851551,-87.718082
3719 W CERMAK RD,,,,,,,,,0.841,dstk,41.851552,-87.718016,3719 W CERMAK RD,3719 W Cermak Rd,198989,2/7/2007 2:45,7959408,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,OLDS,30,TRUE,2/7/2007 2:45,41.851552,-87.718016
3717 W CERMAK RD,,,,,,,,,0.841,dstk,41.851552,-87.717951,3717 W CERMAK RD,3717 W Cermak Rd,198991,2/7/2007 2:48,3105109,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,CHEV,30,TRUE,2/7/2007 2:48,41.851552,-87.717951
3717 W CERMAK RD,,,,,,,,,0.841,dstk,41.851552,-87.717951,3717 W CERMAK RD,3717 W Cermak Rd,2715045,2/7/2007 2:47,3458842,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,CHEV,30,TRUE,2/7/2007 2:47,41.851552,-87.717951
3713 W CERMAK RD,,,,,,,,,0.841,dstk,41.851554,-87.717821,3713 W CERMAK RD,3713 W Cermak Rd,198992,2/7/2007 2:49,9149856,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,PONT,30,TRUE,2/7/2007 2:49,41.851554,-87.717821
1821 N PULASKI,1821,NORTH,PULASKI,-87.72618,41.914235,1821 NORTH PULASKI ROAD,N,1821 N PULASKI,,,,,,,199198,2/6/2007 16:31,7887955,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,25,HOND,30,TRUE,2/6/2007 16:31,41.914235,-87.72618
1937 N PULASKI,1937,NORTH,PULASKI,-87.7262348,41.9164838,1937 NORTH PULASKI ROAD,N,1937 N PULASKI,,,,,,,199199,2/6/2007 17:06,F381441,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,25,CHEV,30,TRUE,2/6/2007 17:06,41.9164838,-87.7262348
1943 N PULASKI,1943,NORTH,PULASKI,-87.7262664,41.9166434,1943 NORTH PULASKI ROAD,N,1943 N PULASKI,,,,,,,199201,2/6/2007 17:10,174G441,IL,TMP,964070,SNOW ROUTE: 2' OF SNOW OR MORE,25,NISS,30,TRUE,2/6/2007 17:10,41.9166434,-87.7262664
212 E 115TH ST,,,,,,,,,0.873,dstk,41.685454,-87.617587,212 E 115TH ST,212 E 115th St,199791,2/7/2007 3:30,G794445,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,5,FORD,30,TRUE,2/7/2007 3:30,41.685454,-87.617587
536 E 115 ST,,,,,,,,,0.815,dstk,41.685528,-87.610199,536 E 115 ST,536 E 115th St,199794,2/7/2007 4:00,6619612,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,5,NISS,30,TRUE,2/7/2007 4:00,41.685528,-87.610199
514 E 115 ST,,,,,,,,,0.815,dstk,41.685522,-87.610909,514 E 115 ST,514 E 115th St,199795,2/7/2007 4:11,8904878,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,5,OLDS,30,TRUE,2/7/2007 4:11,41.685522,-87.610909
358 E 115 ST,,,,,,,,,0.815,dstk,41.685492,-87.613998,358 E 115 ST,358 E 115th St,199796,2/7/2007 4:13,6113587,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,5,DODG,30,TRUE,2/7/2007 4:13,41.685492,-87.613998
352 E 115 ST,,,,,,,,,0.815,dstk,41.685491,-87.614079,352 E 115 ST,352 E 115th St,199797,2/7/2007 4:15,8138803,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,5,OLDS,30,TRUE,2/7/2007 4:15,41.685491,-87.614079
3713 W CERMAK,3713,WEST,CERMAK,-87.7180329,41.8514089,3713 WEST CERMAK ROAD,W,3713 W CERMAK,,,,,,,200819,2/7/2007 2:47,5024162,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,CHEV,30,TRUE,2/7/2007 2:47,41.8514089,-87.7180329
3840 W CERMAK,,,,,,,,,0.768,dstk,41.851594,-87.721102,3840 W CERMAK,3840 W Cermak Rd,200820,2/7/2007 2:48,7618954,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,CHEV,30,TRUE,2/7/2007 2:48,41.851594,-87.721102
3838 W CERMAK,,,,,,,,,0.768,dstk,41.851594,-87.721102,3838 W CERMAK,3838 W Cermak Rd,200821,2/7/2007 2:50,9513087,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,CHEV,30,TRUE,2/7/2007 2:50,41.851594,-87.721102
3836 W CERMAK,,,,,,,,,0.768,dstk,41.85167,-87.720992,3836 W CERMAK,3836 W Cermak Rd,200822,2/2/2007 2:51,7701236,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,FORD,30,TRUE,2/2/2007 2:51,41.85167,-87.720992
38030 W CERMAK,,,,,,,,,0.71,GoogleV3,41.8521866,-87.6750988,38030 W CERMAK,"W Cermak Rd, Chicago, IL, USA",200823,2/7/2007 2:52,6087308,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,FORD,30,TRUE,2/7/2007 2:52,41.8521866,-87.6750988
3828 W CERMAK,3828,WEST,CERMAK,-87.7210512,41.8517965,3828 WEST CERMAK ROAD,W,3828 W CERMAK,,,,,,,200824,2/7/2007 2:54,2498078,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,10,PONT,30,TRUE,2/7/2007 2:54,41.8517965,-87.7210512
2857 S HALSTED,2857,SOUTH,HALSTED,-87.6460105,41.8418767,2857 SOUTH HALSTED STREET,S,2857 S HALSTED,,,,,,,201466,2/6/2007 18:31,9060319,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,NISS,30,TRUE,2/6/2007 18:31,41.8418767,-87.6460105
2823 S HALSTED,2823,SOUTH,HALSTED,-87.6461075,41.842808,2823 SOUTH HALSTED STREET,S,2823 S HALSTED,,,,,,,201467,2/6/2007 18:32,3548211,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,FORD,30,TRUE,2/6/2007 18:32,41.842808,-87.6461075
2523 S ARCHER,2523,SOUTH,ARCHER,-87.6472418,41.8464403,2523 SOUTH ARCHER AVENUE,S,2523 S ARCHER,,,,,,,201468,2/6/2007 18:29,DJZENG8,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,TOYT,30,TRUE,2/6/2007 18:29,41.8464403,-87.6472418
2921 S HALSTED,,,,,,,,,0.772,dstk,41.841241,-87.646282,2921 S HALSTED,2921 S Halsted St,201567,2/6/2007 18:30,7257312,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,HOND,30,TRUE,2/6/2007 18:30,41.841241,-87.646282
2921 S HALSTED,,,,,,,,,0.772,dstk,41.841241,-87.646282,2921 S HALSTED,2921 S Halsted St,2431077,12/5/2007 3:40,7744M3,IN,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,CHEV,30,TRUE,12/5/2007 3:40,41.841241,-87.646282
2919 S HALSTED,,,,,,,,,0.772,dstk,41.841277,-87.646283,2919 S HALSTED,2919 S Halsted St,201568,2/6/2007 16:31,4801419,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,HOND,30,TRUE,2/6/2007 16:31,41.841277,-87.646283
2919 S HALSTED,,,,,,,,,0.772,dstk,41.841277,-87.646283,2919 S HALSTED,2919 S Halsted St,2624924,2/6/2007 18:29,1921026,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,TOYT,30,TRUE,2/6/2007 18:29,41.841277,-87.646283
2713 S HALSTED,,,,,,,,,0.772,dstk,41.84439,-87.646355,2713 S HALSTED,2713 S Halsted St,201569,2/6/2007 18:34,5281019,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,PONT,30,TRUE,2/6/2007 18:34,41.84439,-87.646355
2523 S HALSTED,,,,,,,,,0.772,dstk,41.846435,-87.646391,2523 S HALSTED,2523 S Halsted St,201570,2/6/2007 18:38,5JTK018,CA,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,TOYT,30,TRUE,2/6/2007 18:38,41.846435,-87.646391
2521 S ARCHER,2521,SOUTH,ARCHER,-87.64716,41.8465881,2521 SOUTH ARCHER AVENUE,S,2521 S ARCHER,,,,,,,201571,2/6/2007 18:45,159H057,IL,TMP,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,HOND,30,TRUE,2/6/2007 18:45,41.8465881,-87.64716
2519 S ARCHER,2519,SOUTH,ARCHER,-87.647089,41.846626,2519 SOUTH ARCHER AVENUE,S,2519 S ARCHER,,,,,,,201572,2/6/2007 18:46,XGH773,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,LEXU,30,TRUE,2/6/2007 18:46,41.846626,-87.647089
2519 S ARCHER,2519,SOUTH,ARCHER,-87.647089,41.846626,2519 SOUTH ARCHER AVENUE,S,2519 S ARCHER,,,,,,,201573,2/6/2007 18:47,XIN5985,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,TOYT,30,TRUE,2/6/2007 18:47,41.846626,-87.647089
2517 S ARCHER,2517,SOUTH,ARCHER,-87.6470116,41.8466629,2517 SOUTH ARCHER AVENUE,S,2517 S ARCHER,,,,,,,201574,2/6/2007 18:47,AFQ9547,GA,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,TOYT,30,TRUE,2/6/2007 18:47,41.8466629,-87.6470116
4701 N KEDZIE,4701,NORTH,KEDZIE,-87.7081482,41.9669301,4701 NORTH KEDZIE AVENUE,N,4701 N KEDZIE,,,,,,,201587,2/6/2007 12:50,8072126,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,17,DODG,30,TRUE,2/6/2007 12:50,41.9669301,-87.7081482
7110 S RACINE AV,,,,,,,,,0.816,dstk,41.764726,-87.654182,7110 S RACINE AV,7110 S Racine Ave,203282,2/6/2007 16:32,9826843,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,7,GMC,30,TRUE,2/6/2007 16:32,41.764726,-87.654182
7112 S RACINE AV,,,,,,,,,0.816,dstk,41.76466,-87.65418,7112 S RACINE AV,7112 S Racine Ave,203283,2/6/2007 16:40,8565340,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,7,BUIC,30,TRUE,2/6/2007 16:40,41.76466,-87.65418
7112 S RACINE,,,,,,,,,0.75,dstk,41.76466,-87.65418,7112 S RACINE,7112 S Racine Ave,203361,2/6/2007 16:38,6331944,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,7,NISS,30,TRUE,2/6/2007 16:38,41.76466,-87.65418
3503 N CICERO,3503,NORTH,CICERO,-87.7465791,41.9448395,3503 NORTH CICERO AVENUE,N,3503 N CICERO,,,,,,,203692,2/6/2007 20:50,7148294,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,17,GEO,30,TRUE,2/6/2007 20:50,41.9448395,-87.7465791
3505 N CICERO,3505,NORTH,CICERO,-87.7465787,41.9448796,3505 NORTH CICERO AVENUE,N,3505 N CICERO,,,,,,,203693,2/6/2007 20:53,J108221,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,17,CHEV,30,TRUE,2/6/2007 20:53,41.9448796,-87.7465787
3505 N CICERO,3505,NORTH,CICERO,-87.7465787,41.9448796,3505 NORTH CICERO AVENUE,N,3505 N CICERO,,,,,,,2534879,2/6/2007 20:52,2902108,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,17,FORD,30,TRUE,2/6/2007 20:52,41.9448796,-87.7465787
3416 W BELMONT,,,,,,,,,0.755,dstk,41.939343,-87.712918,3416 W BELMONT,3416 W Belmont Ave,203841,2/6/2007 16:30,7110651,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,17,MITS,30,TRUE,2/6/2007 16:30,41.939343,-87.712918
1310 W MADISON,,,,,,,,,0.772,dstk,41.881673,-87.660114,1310 W MADISON,1310 W Madison St,204131,2/6/2007 17:05,7646595,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,12,LEXU,30,TRUE,2/6/2007 17:05,41.881673,-87.660114
9335 S HALSTED,9335,SOUTH,HALSTED,-87.6429133,41.7240323,9335 SOUTH HALSTED STREET,S,9335 S HALSTED,,,,,,,204136,2/7/2007 1:30,6042950,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,DODG,30,TRUE,2/7/2007 1:30,41.7240323,-87.6429133
9333 S HALSTED,9333,SOUTH,HALSTED,-87.6429341,41.7241014,9333 SOUTH HALSTED STREET,S,9333 S HALSTED,,,,,,,204137,2/7/2007 1:43,8626998,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,PONT,30,TRUE,2/7/2007 1:43,41.7241014,-87.6429341
9329 S HALSTED,9329,SOUTH,HALSTED,-87.6429211,41.7242492,9329 SOUTH HALSTED STREET,S,9329 S HALSTED,,,,,,,204138,2/7/2007 1:45,9111582,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,CHEV,30,TRUE,2/7/2007 1:45,41.7242492,-87.6429211
9243 S HALSTED,9243,SOUTH,HALSTED,-87.6429642,41.7256542,9243 SOUTH HALSTED STREET,S,9243 S HALSTED,,,,,,,204139,2/7/2007 1:50,8754107,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,TOYT,30,TRUE,2/7/2007 1:50,41.7256542,-87.6429642
9229 S HALSTED,9229,SOUTH,HALSTED,-87.6429786,41.7260642,9229 SOUTH HALSTED STREET,S,9229 S HALSTED,,,,,,,204140,2/7/2007 1:54,8588830,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,22,BUIC,30,TRUE,2/7/2007 1:54,41.7260642,-87.6429786
2525 S HALSTED,,,,,,,,,0.772,dstk,41.84637,-87.64639,2525 S HALSTED,2525 S Halsted St,210039,2/6/2007 18:35,8585004,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,PLYM,30,TRUE,2/6/2007 18:35,41.84637,-87.64639
5432 S RACINE,,,,,,,,,0.75,dstk,41.795385,-87.654973,5432 S RACINE,5432 S Racine Ave,210055,2/7/2007 5:53,9187749,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,HOND,30,TRUE,2/7/2007 5:53,41.795385,-87.654973
5432 S RACINE,,,,,,,,,0.75,dstk,41.795385,-87.654973,5432 S RACINE,5432 S Racine Ave,245113,2/15/2007 6:00,7645143,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,OLDS,30,TRUE,2/15/2007 6:00,41.795385,-87.654973
5229 S RACINE AVE,,,,,,,,,0.839,dstk,41.799103,-87.654918,5229 S RACINE AVE,5229 S Racine Ave,210056,2/7/2007 6:20,8522797,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,CHEV,30,TRUE,2/7/2007 6:20,41.799103,-87.654918
842 S 51TH ST,,,,,,,,,0.776,dstk,41.80164,-87.646421,842 S 51TH ST,842 W 51st St,210057,2/7/2007 6:30,8585720,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,CHRY,30,TRUE,2/7/2007 6:30,41.80164,-87.646421
5112 S RACINE AVE,,,,,,,,,0.839,dstk,41.801207,-87.655128,5112 S RACINE AVE,5112 S Racine Ave,210058,2/2/2007 6:31,4668460,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,CADI,30,TRUE,2/2/2007 6:31,41.801207,-87.655128
5130 S RACINE AVE,,,,,,,,,0.839,dstk,41.800892,-87.655119,5130 S RACINE AVE,5130 S Racine Ave,210059,2/7/2007 6:30,5788890,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,PONT,30,TRUE,2/7/2007 6:30,41.800892,-87.655119
1648 W 51TH ST,,,,,,,,,0.808,dstk,41.801303,-87.666604,1648 W 51TH ST,1648 W 51st St,210092,2/7/2007 6:59,5639362,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,FORD,30,TRUE,2/7/2007 6:59,41.801303,-87.666604
1814 W 51TH ST,,,,,,,,,0.808,dstk,41.801347,-87.669971,1814 W 51TH ST,1814 W 51st St,210095,2/7/2007 7:00,9389043,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,DODG,30,TRUE,2/7/2007 7:00,41.801347,-87.669971
1814 W 51TH ST,,,,,,,,,0.808,dstk,41.801347,-87.669971,1814 W 51TH ST,1814 W 51st St,2703529,12/16/2007 6:45,5244424,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,9,DODG,30,TRUE,12/16/2007 6:45,41.801347,-87.669971
10012 S COMMERCIAL,10012,SOUTH,COMMERCIAL,-87.5513865,41.7129785,10012 SOUTH COMMERCIAL AVENUE,S,10012 S COMMERCIAL,,,,,,,210161,2/2/2007 0:41,B495271,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,TOYT,30,TRUE,2/2/2007 0:41,41.7129785,-87.5513865
10129 S COMMERCIAL,10129,SOUTH,COMMERCIAL,-87.5515711,41.7109501,10129 SOUTH COMMERCIAL AVENUE,S,10129 S COMMERCIAL,,,,,,,210162,2/7/2007 0:55,,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,FORD,30,TRUE,2/7/2007 0:55,41.7109501,-87.5515711
2730 E 75TH ST,,,,,,,,,0.808,dstk,41.760535,-87.557464,2730 E 75TH ST,2730 E 75th St,210866,2/7/2007 2:23,444MBD,MS,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,HOND,30,TRUE,2/7/2007 2:23,41.760535,-87.557464
2730 E 75TH ST,,,,,,,,,0.808,dstk,41.760535,-87.557464,2730 E 75TH ST,2730 E 75th St,2355766,2/7/2007 2:27,8754517,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,ACUR,30,TRUE,2/7/2007 2:27,41.760535,-87.557464
2726 E 75TH ST,,,,,,,,,0.808,dstk,41.760459,-87.557656,2726 E 75TH ST,2726 E 75th St,210868,2/7/2007 2:32,6530766,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,BUIC,30,TRUE,2/7/2007 2:32,41.760459,-87.557656
2726 E 75TH ST,,,,,,,,,0.808,dstk,41.760459,-87.557656,2726 E 75TH ST,2726 E 75th St,210869,2/7/2007 2:34,994G161,IL,TMP,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,BUIC,30,TRUE,2/7/2007 2:34,41.760459,-87.557656
2424 E 75TH ST,,,,,,,,,0.808,dstk,41.759078,-87.565078,2424 E 75TH ST,2424 E 75th St,210870,2/7/2007 2:36,1875971,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,HOND,30,TRUE,2/7/2007 2:36,41.759078,-87.565078
2424 E 75TH ST,,,,,,,,,0.808,dstk,41.759078,-87.565078,2424 E 75TH ST,2424 E 75th St,2535171,2/7/2007 2:30,7653478,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,OLDS,30,TRUE,2/7/2007 2:30,41.759078,-87.565078
2700 E 75TH ST,,,,,,,,,0.808,dstk,41.759864,-87.558616,2700 E 75TH ST,2700 E 75th St,210871,2/7/2007 2:40,7258673,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,HOND,30,TRUE,2/7/2007 2:40,41.759864,-87.558616
2554 E 79TH T,,,,,,,,,0.783,dstk,41.751858,-87.562234,2554 E 79TH T,2554 E 79th St,210872,2/7/2007 2:27,46K3297,IN,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,CHEV,30,TRUE,2/7/2007 2:27,41.751858,-87.562234
8212 S JEFFREY,,,,,,,,,0.75,Bing,41.74585752,-87.57592745,8212 S JEFFREY,"8212 S Jeffery Blvd, Chicago, IL 60617, United States",210873,2/7/2007 3:02,9560499,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,CHEV,30,TRUE,2/7/2007 3:02,41.7458575219,-87.5759274513
7845 S JEFFERY,,,,,,,,,0.75,Bing,41.7524343,-87.57594556,7845 S JEFFERY,"7845 S Jeffery Blvd, Chicago, IL 60649, United States",210875,2/7/2007 3:38,9647712,IL,PAS,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,OLDS,30,TRUE,2/7/2007 3:38,41.7524342984,-87.5759455562
8247 S +JEFFERY,,,,,,,,,0.75,Bing,41.7449107,-87.57579602,8247 S +JEFFERY,"8247 S Jeffery Blvd, Chicago, IL 60617, United States",210877,2/7/2007 4:08,3471TX,IL,TXI,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,FORD,30,TRUE,2/7/2007 4:08,41.7449107021,-87.575796023
8245 S JEFFERY,,,,,,,,,0.75,Bing,41.74492143,-87.57579669,8245 S JEFFERY,"8245 S Jeffery Blvd, Chicago, IL 60617, United States",210878,2/7/2007 4:11,955G949,IL,TMP,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,CADI,30,TRUE,2/7/2007 4:11,41.7449214309,-87.5757966936
10847 S AVENUE O,10847,SOUTH,AVENUE O,-87.539828,41.697738,10847 SOUTH AVENUE O,S,10847 S AVENUE O,,,,,,,210880,2/6/2007 18:05,436H637,IL,TMP,964070,SNOW ROUTE: 2' OF SNOW OR MORE,4,FORD,30,TRUE,2/6/2007 18:05,41.697738,-87.539828
