Violation Location,ADDRNO,STNAMEPRD,STNAME,LONGITUDE,LATITUDE,ADDRDELIV,pre_abbrev,lookup_address,confidence,geocoder,latitude,longitude,original_address,street_address,Unnamed: 0,Issue Date,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,two_inch,date
4848 N CENTRAL,4848,NORTH,CENTRAL,-87.7679103,41.9689406,4848 NORTH CENTRAL AVENUE,N,4848 N CENTRAL,,,,,,,50003,1/9/2011 3:12:00 AM,X273824,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,16,MERZ,60,True,2011-01-09 03:12:00
4815 N MILWAUKEE,4815,NORTH,MILWAUKEE,-87.7608068,41.968432,4815 NORTH MILWAUKEE AVENUE,N,4815 N MILWAUKEE,,,,,,,50004,1/9/2011 3:17:00 AM,6818008,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,16,NISS,60,True,2011-01-09 03:17:00
4226 N MILWAUKEE,4226,NORTH,MILWAUKEE,-87.7522451,41.9576872,4226 NORTH MILWAUKEE AVENUE,N,4226 N MILWAUKEE,,,,,,,50005,1/9/2011 3:20:00 AM,K220371,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,16,TOYT,60,True,2011-01-09 03:20:00
4209 N MILWAUKEE,4209,NORTH,MILWAUKEE,-87.7513501,41.9573538,4209 NORTH MILWAUKEE AVENUE,N,4209 N MILWAUKEE,,,,,,,50006,1/9/2011 3:22:00 AM,159M622,IL,TMP,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,16,VOLK,60,True,2011-01-09 03:22:00
4355 N MILWAUKEE,4355,NORTH,MILWAUKEE,-87.7537616,41.9602696,4355 NORTH MILWAUKEE AVENUE,N,4355 N MILWAUKEE,,,,,,,50007,1/9/2011 3:23:00 AM,K661014,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,16,HOND,60,True,2011-01-09 03:23:00
1022 S STATE,,,,,,,,,0.763,dstk,41.869768,-87.627483,1022 S STATE,1022 S State St,56471,1/3/2011 3:03:00 AM,G881376,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,CHEV,60,True,2011-01-03 03:03:00
1022 S STATE,,,,,,,,,0.763,dstk,41.869768,-87.627483,1022 S STATE,1022 S State St,165539,1/27/2011 3:10:00 AM,EWX7950,OH,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,HOND,60,True,2011-01-27 03:10:00
1527 S STATE,1527,SOUTH,STATE,-87.6268865,41.8610257,1527 SOUTH STATE STREET,S,1527 S STATE,,,,,,,56472,1/3/2011 3:13:00 AM,1345074,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,HYUN,60,True,2011-01-03 03:13:00
1527 S STATE,1527,SOUTH,STATE,-87.6268865,41.8610257,1527 SOUTH STATE STREET,S,1527 S STATE,,,,,,,165655,1/27/2011 3:34:00 AM,H805458,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,ACUR,60,True,2011-01-27 03:34:00
647 S STATE,,,,,,,,,0.763,dstk,41.873778,-87.627439,647 S STATE,647 S State St,56473,1/8/2011 3:06:00 AM,H130602,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,JEEP,60,True,2011-01-08 03:06:00
647 S STATE,,,,,,,,,0.763,dstk,41.873778,-87.627439,647 S STATE,647 S State St,165654,1/27/2011 3:03:00 AM,K702620,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,CHRY,60,True,2011-01-27 03:03:00
647 S STATE,,,,,,,,,0.763,dstk,41.873778,-87.627439,647 S STATE,647 S State St,2209160,12/27/2011 3:16:00 AM,7640638,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,SATR,60,True,2011-12-27 03:16:00
910 S STATE,,,,,,,,,0.763,dstk,41.870188,-87.627492,910 S STATE,910 S State St,56475,1/9/2011 3:19:00 AM,9774333,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,VOLK,60,True,2011-01-09 03:19:00
910 S STATE,,,,,,,,,0.763,dstk,41.870188,-87.627492,910 S STATE,910 S State St,366201,3/10/2011 3:22:00 AM,L392689,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,INFI,60,True,2011-03-10 03:22:00
1212 S STATE,1212,SOUTH,STATE,-87.6277426,41.8669757,1212 SOUTH STATE STREET,S,1212 S STATE,,,,,,,56476,1/9/2011 3:39:00 AM,100848F,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,ISU,60,True,2011-01-09 03:39:00
1236 S STATE,1236,SOUTH,STATE,-87.6277296,41.8663189,1236 SOUTH STATE STREET,S,1236 S STATE,,,,,,,57911,1/3/2011 3:08:00 AM,K381137,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,CHRY,60,True,2011-01-03 03:08:00
1236 S STATE,1236,SOUTH,STATE,-87.6277296,41.8663189,1236 SOUTH STATE STREET,S,1236 S STATE,,,,,,,2174665,12/18/2011 3:37:00 AM,9198310,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,OLDS,60,True,2011-12-18 03:37:00
824 S STATE,,,,,,,,,0.763,dstk,41.870448,-87.627497,824 S STATE,824 S State St,57912,1/9/2011 3:15:00 AM,22728X,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,TOYT,60,True,2011-01-09 03:15:00
851 S STATE,,,,,,,,,0.763,dstk,41.871153,-87.627366,851 S STATE,851 S State St,57913,1/9/2011 3:23:00 AM,K371060,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,PONT,60,True,2011-01-09 03:23:00
1423 S STATE,,,,,,,,,0.763,dstk,41.863295,-87.627225,1423 S STATE,1423 S State St,57914,1/9/2011 3:44:00 AM,G724207,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,1,VOLK,60,True,2011-01-09 03:44:00
7300 N SHERIDAN,7300,NORTH,SHERIDAN,-87.6647455,42.0141964,7300 NORTH SHERIDAN ROAD,N,7300 N SHERIDAN,,,,,,,62570,1/11/2011 1:17:00 PM,H831188,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,24,PLYM,60,True,2011-01-11 13:17:00
7235 N SHERIDAN,7235,NORTH,SHERIDAN,-87.6636622,42.0136608,7235 NORTH SHERIDAN ROAD,N,7235 N SHERIDAN,,,,,,,62571,1/11/2011 1:30:00 PM,X329478,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,24,CHEV,60,True,2011-01-11 13:30:00
7432 N SHERIDAN,,,,,,,,,0.775,dstk,42.017083,-87.665455,7432 N SHERIDAN,7432 N Sheridan Rd,62572,1/11/2011 1:37:00 PM,L778649,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,24,DODG,60,True,2011-01-11 13:37:00
7465 N SHERIDAN,,,,,,,,,0.775,dstk,42.017651,-87.665478,7465 N SHERIDAN,7465 N Sheridan Rd,62573,1/11/2011 1:46:00 PM,COL1382,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,24,CHRY,60,True,2011-01-11 13:46:00
3671 S ARCHER,3671,SOUTH,ARCHER,-87.6826867,41.8270496,3671 SOUTH ARCHER AVENUE,S,3671 S ARCHER,,,,,,,63038,1/8/2011 8:59:00 AM,10224S,IL,TRK,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,9,FORD,60,True,2011-01-08 08:59:00
4901 N ASHLAND,,,,,,,,,0.755,dstk,41.971852,-87.669519,4901 N ASHLAND,4901 N Ashland Ave,63916,1/11/2011 11:15:00 PM,L508873,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,CHEV,60,True,2011-01-11 23:15:00
4903 N ASHLAND,,,,,,,,,0.755,dstk,41.971878,-87.669445,4903 N ASHLAND,4903 N Ashland Ave,63917,1/11/2011 11:20:00 PM,K460403,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,MAZD,60,True,2011-01-11 23:20:00
4903 N ASHLAND,,,,,,,,,0.755,dstk,41.971878,-87.669445,4903 N ASHLAND,4903 N Ashland Ave,63970,1/11/2011 11:25:00 PM,54951FF,IL,FFM,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,CHEV,60,True,2011-01-11 23:25:00
4905 N ASHLAND,,,,,,,,,0.755,dstk,41.971902,-87.669445,4905 N ASHLAND,4905 N Ashland Ave,63918,1/11/2011 11:20:00 PM,X879596,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,VOLV,60,True,2011-01-11 23:20:00
4909 N ASHLAND AV,,,,,,,,,0.817,dstk,41.971951,-87.669446,4909 N ASHLAND AV,4909 N Ashland Ave,63919,1/11/2011 11:21:00 PM,53FJ86,MA,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,TOYT,60,True,2011-01-11 23:21:00
4913 N ASHLAND,4913,NORTH,ASHLAND,-87.6691683,41.9723245,4913 NORTH ASHLAND AVENUE,N,4913 N ASHLAND,,,,,,,63920,1/11/2011 11:35:00 PM,G235040,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,TOYT,60,True,2011-01-11 23:35:00
4919 N ASHLAND,4919,NORTH,ASHLAND,-87.6692019,41.9724715,4919 NORTH ASHLAND AVENUE,N,4919 N ASHLAND,,,,,,,63921,1/11/2011 11:36:00 PM,1426131,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,FORD,60,True,2011-01-11 23:36:00
4921 N ASHLAND,,,,,,,,,0.755,dstk,41.972097,-87.669449,4921 N ASHLAND,4921 N Ashland Ave,63922,1/11/2011 11:40:00 PM,H883812,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,TOYT,60,True,2011-01-11 23:40:00
4805 N ASHLAND,,,,,,,,,0.755,dstk,41.968999,-87.669365,4805 N ASHLAND,4805 N Ashland Ave,63971,1/11/2011 11:25:00 PM,X226344,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,HOND,60,True,2011-01-11 23:25:00
4909 N ASHLAND,,,,,,,,,0.755,dstk,41.971951,-87.669446,4909 N ASHLAND,4909 N Ashland Ave,63972,1/11/2011 11:27:00 PM,4HXG30,MI,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,HOND,60,True,2011-01-11 23:27:00
5853 N BROADWAY,5853,NORTH,BROADWAY,-87.6595934,41.9885602,5853 NORTH BROADWAY STREET,N,5853 N BROADWAY,,,,,,,63976,1/11/2011 3:30:00 PM,8436322,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,TOYT,60,True,2011-01-11 15:30:00
5853 N BROADWAY,5853,NORTH,BROADWAY,-87.6595934,41.9885602,5853 NORTH BROADWAY STREET,N,5853 N BROADWAY,,,,,,,63977,1/11/2011 3:31:00 PM,5878896,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,JEEP,60,True,2011-01-11 15:31:00
5853 N BROADWAY,5853,NORTH,BROADWAY,-87.6595934,41.9885602,5853 NORTH BROADWAY STREET,N,5853 N BROADWAY,,,,,,,63978,1/11/2011 3:31:00 PM,C732868,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,FORD,60,True,2011-01-11 15:31:00
5844  BROADWAY,,,,,,,,,0.735,dstk,41.988073,-87.660276,5844  BROADWAY,5844 N Broadway St,63979,1/11/2011 3:45:00 PM,6659TX,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,FORD,60,True,2011-01-11 15:45:00
5743 N BROADWAY,5743,NORTH,BROADWAY,-87.659712,41.9866955,5743 NORTH BROADWAY STREET,N,5743 N BROADWAY,,,,,,,63980,1/11/2011 3:45:00 PM,A772743,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,TOYT,60,True,2011-01-11 15:45:00
5718 N BROADWAY,5718,NORTH,BROADWAY,-87.6605583,41.9861257,5718 NORTH BROADWAY STREET,N,5718 N BROADWAY,,,,,,,63981,1/11/2011 3:45:00 PM,3370TX,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,FORD,60,True,2011-01-11 15:45:00
5454 N BROADWAY,5454,NORTH,BROADWAY,-87.660428,41.9816329,5454 NORTH BROADWAY STREET,N,5454 N BROADWAY,,,,,,,63982,1/11/2011 3:48:00 PM,6796711,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,HOND,60,True,2011-01-11 15:48:00
5424 N BROADWAY,5424,NORTH,BROADWAY,-87.6602643,41.9807777,5424 NORTH BROADWAY STREET,N,5424 N BROADWAY,,,,,,,63983,1/11/2011 3:50:00 PM,H181065,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,TOYT,60,True,2011-01-11 15:50:00
5420 N BROADWAY,5420,NORTH,BROADWAY,-87.6603311,41.9806069,5420 NORTH BROADWAY STREET,N,5420 N BROADWAY,,,,,,,63984,1/11/2011 3:51:00 PM,CK1447,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,BUIC,60,True,2011-01-11 15:51:00
5414 N BROADWAY,5414,NORTH,BROADWAY,-87.6603362,41.9805009,5414 NORTH BROADWAY STREET,N,5414 N BROADWAY,,,,,,,63985,1/11/2011 3:53:00 PM,2717TX,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,FORD,60,True,2011-01-11 15:53:00
5148 N BROADWAY,,,,,,,,,0.775,dstk,41.975644,-87.659922,5148 N BROADWAY,5148 N Broadway St,64270,1/11/2011 3:55:00 PM,A829353,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,BMW,60,True,2011-01-11 15:55:00
5146 N BROADWAY,,,,,,,,,0.775,dstk,41.975616,-87.659921,5146 N BROADWAY,5146 N Broadway St,64271,1/11/2011 3:56:00 PM,5163670,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,HOND,60,True,2011-01-11 15:56:00
5012 N BROADWAY,,,,,,,,,0.775,dstk,41.973161,-87.659853,5012 N BROADWAY,5012 N Broadway St,64272,1/11/2011 3:59:00 PM,K237175,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,LEXU,60,True,2011-01-11 15:59:00
5002 N BROADWAY,5002,NORTH,BROADWAY,-87.660115,41.9728833,5002 NORTH BROADWAY STREET,N,5002 N BROADWAY,,,,,,,64273,1/11/2011 4:00:00 PM,L547877,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,HOND,60,True,2011-01-11 16:00:00
5002 N BROADWAY,5002,NORTH,BROADWAY,-87.660115,41.9728833,5002 NORTH BROADWAY STREET,N,5002 N BROADWAY,,,,,,,2401853,1/11/2011 4:01:00 PM,X277805,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,INFI,60,True,2011-01-11 16:01:00
5004 N BROADWAY,5004,NORTH,BROADWAY,-87.6601145,41.9729294,5004 NORTH BROADWAY STREET,N,5004 N BROADWAY,,,,,,,64274,1/11/2011 4:01:00 PM,A787916,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,TOYT,60,True,2011-01-11 16:01:00
4816 N BROADWAY,4816,NORTH,BROADWAY,-87.6600627,41.9695467,4816 NORTH BROADWAY STREET,N,4816 N BROADWAY,,,,,,,64275,1/11/2011 4:04:00 PM,H149659,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,NISS,60,True,2011-01-11 16:04:00
4816 N BROADWAY,4816,NORTH,BROADWAY,-87.6600627,41.9695467,4816 NORTH BROADWAY STREET,N,4816 N BROADWAY,,,,,,,84006,1/11/2011 4:05:00 PM,771AMH,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,VOLK,60,True,2011-01-11 16:05:00
4812 N BROADWAY,4812,NORTH,BROADWAY,-87.6600636,41.9693939,4812 NORTH BROADWAY STREET,N,4812 N BROADWAY,,,,,,,64276,1/11/2011 4:06:00 PM,6409345,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,20,DODG,60,True,2011-01-11 16:06:00
1559 N MILWAUKEE,1559,NORTH,MILWAUKEE,-87.6763961,41.9099311,1559 NORTH MILWAUKEE AVENUE,N,1559 N MILWAUKEE,,,,,,,64371,1/11/2011 9:30:00 AM,3725515,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,FORD,60,True,2011-01-11 09:30:00
1563 N MILWAUKEE,1563,NORTH,MILWAUKEE,-87.6765197,41.9100376,1563 NORTH MILWAUKEE AVENUE,N,1563 N MILWAUKEE,,,,,,,64372,1/11/2011 9:40:00 AM,X321591,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,SUZI,60,True,2011-01-11 09:40:00
1579 N MILWAUKEE,1579,NORTH,MILWAUKEE,-87.6767875,41.910236,1579 NORTH MILWAUKEE AVENUE,N,1579 N MILWAUKEE,,,,,,,64373,1/11/2011 9:41:00 AM,K605116,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,JEEP,60,True,2011-01-11 09:41:00
1572 N MILWAUKEE,,,,,,,,,0.763,dstk,41.909968,-87.676644,1572 N MILWAUKEE,1572 N Milwaukee Ave,64374,1/11/2011 9:45:00 AM,H677213,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,SAAB,60,True,2011-01-11 09:45:00
1558 N MILWAUKEE,1558,NORTH,MILWAUKEE,-87.6767745,41.9096394,1558 NORTH MILWAUKEE AVENUE,N,1558 N MILWAUKEE,,,,,,,64375,1/11/2011 9:48:00 AM,7EQN45,MI,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,VOLK,60,True,2011-01-11 09:48:00
1458 N MILWAUKEE,,,,,,,,,0.763,dstk,41.908308,-87.674357,1458 N MILWAUKEE,1458 N Milwaukee Ave,64376,1/11/2011 9:50:00 AM,H923804,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,SUZI,60,True,2011-01-11 09:50:00
1454 N MILWAUKEE,1454,NORTH,MILWAUKEE,-87.6745,41.9081827,1454 NORTH MILWAUKEE AVENUE,N,1454 N MILWAUKEE,,,,,,,64377,1/11/2011 9:56:00 AM,7444478,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,TOYT,60,True,2011-01-11 09:56:00
1456 N MILWAUKEE,1456,NORTH,MILWAUKEE,-87.6745976,41.9081967,1456 NORTH MILWAUKEE AVENUE,N,1456 N MILWAUKEE,,,,,,,64378,1/11/2011 9:57:00 AM,SINEAD,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,TOYT,60,True,2011-01-11 09:57:00
1459 N MILWAUKEE,1459,NORTH,MILWAUKEE,-87.6742095,41.9084884,1459 NORTH MILWAUKEE AVENUE,N,1459 N MILWAUKEE,,,,,,,64379,1/11/2011 9:59:00 AM,255M970,IL,TMP,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,CHEV,60,True,2011-01-11 09:59:00
1463 N MILWAUKEE,1463,NORTH,MILWAUKEE,-87.6742076,41.9086687,1463 NORTH MILWAUKEE AVENUE,N,1463 N MILWAUKEE,,,,,,,64380,1/11/2011 10:00:00 AM,7390TN,IN,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,CHEV,60,True,2011-01-11 10:00:00
1445 N MILWAUKEE,1445,NORTH,MILWAUKEE,-87.6739295,41.908327,1445 NORTH MILWAUKEE AVENUE,N,1445 N MILWAUKEE,,,,,,,64381,1/11/2011 10:05:00 AM,KARALY2,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,14,LEXU,60,True,2011-01-11 10:05:00
7328 N SHERIDAN,7328,NORTH,SHERIDAN,-87.6649034,42.014771,7328 NORTH SHERIDAN ROAD,N,7328 N SHERIDAN,,,,,,,64508,1/11/2011 1:12:00 PM,1532TX,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,24,TOYT,60,True,2011-01-11 13:12:00
7229 N SHERIDAN,7229,NORTH,SHERIDAN,-87.6636228,42.0135925,7229 NORTH SHERIDAN ROAD,N,7229 N SHERIDAN,,,,,,,64509,1/11/2011 1:26:00 PM,H725183,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,24,MERC,60,True,2011-01-11 13:26:00
7231 N SHERIDAN,7231,NORTH,SHERIDAN,-87.663636,42.0136153,7231 NORTH SHERIDAN ROAD,N,7231 N SHERIDAN,,,,,,,64510,1/11/2011 1:29:00 PM,4842076,IL,PAS,964070,SNOW ROUTE: 2'' OF SNOW OR MORE,24,TOYT,60,True,2011-01-11 13:29:00
