Violation Street Number,Violation Street Direction,Violation Street Name,Violation Description,Violation Date,Violation Time,Issuing Agency,Month,Date,Year,Latitude,Longitude
32**,W,PALMER,10-8-180    Snow and ice removal.,1/12/2015,11:40 AM,Transportation,1/1/1900,12,2015,41.9214488,-87.7069979
2**,W,31ST,10-8-180    Snow and ice removal.,1/12/2015,11:36 AM,Transportation,1/1/1900,12,2015,41.8384586,-87.6320873
83**,S,ADA,10-8-180    Snow and ice removal.,1/13/2015,4:21 AM,Police,1/1/1900,13,2015,41.7430266,-87.657441
83**,S,HERMITAGE,10-8-180    Snow and ice removal.,1/13/2015,4:37 AM,Police,1/1/1900,13,2015,41.742758,-87.667169
55**,N,WESTERN,10-8-180    Snow and ice removal.,1/13/2015,12:00 PM,Streets and Sanitation,1/1/1900,13,2015,41.9816355,-87.6897742
7**,E,103RD,10-8-180    Snow and ice removal.,1/13/2015,1:15 AM,Transportation,1/1/1900,13,2015,41.7074464,-87.6064881
3**,E,103RD,10-8-180    Snow and ice removal.,1/13/2015,12:58 PM,Transportation,1/1/1900,13,2015,41.707502,-87.615967
2**,E,103RD,10-8-180    Snow and ice removal.,1/13/2015,12:56 PM,Transportation,1/1/1900,13,2015,41.707567,-87.6182576
3**,E,103RD,10-8-180    Snow and ice removal.,1/13/2015,12:54 PM,Transportation,1/1/1900,13,2015,41.707502,-87.615967
1**,E,103RD,10-8-180    Snow and ice removal.,1/13/2015,12:48 PM,Transportation,1/1/1900,13,2015,41.7072104,-87.6202083
2**,E,103RD,10-8-180    Snow and ice removal.,1/13/2015,12:45 PM,Transportation,1/1/1900,13,2015,41.707567,-87.6182576
**,S,WESTERN,10-8-180    Snow and ice removal.,1/13/2015,9:51 AM,Transportation,1/1/1900,13,2015,41.8811617,-87.6864795
14**,S,WESTERN,10-8-180    Snow and ice removal.,1/13/2015,10:04 AM,Transportation,1/1/1900,13,2015,41.8627535,-87.6863072
**,W,108TH,10-8-180    Snow and ice removal.,1/13/2015,11:10 AM,Transportation,1/1/1900,13,2015,41.6980495,-87.6232812
108**,S,WESTERN,10-8-180    Snow and ice removal.,1/13/2015,11:10 AM,Transportation,1/1/1900,13,2015,41.6967998,-87.6816635
**,W,107TH,10-8-180    Snow and ice removal.,1/13/2015,11:10 AM,Transportation,1/1/1900,13,2015,41.6998737,-87.6233252
**,S,HALE,10-8-180    Snow and ice removal.,1/13/2015,2:35 AM,Transportation,1/1/1900,13,2015,41.691943,-87.6709425
**,W,111TH,10-8-180    Snow and ice removal.,1/13/2015,12:50 PM,Transportation,1/1/1900,13,2015,41.6928271,-87.6234018
60**,S,ARCHER,10-8-180    Snow and ice removal.,1/13/2015,2:15 AM,Transportation,1/1/1900,13,2015,41.7953771,-87.7666047
**,E,GARFIELD,10-8-180    Snow and ice removal.,1/13/2015,11:13 AM,Transportation,1/1/1900,13,2015,41.7943312,-87.6245401
26**,S,ARCHER,10-8-180    Snow and ice removal.,1/13/2015,12:23 PM,Transportation,1/1/1900,13,2015,41.8456208,-87.6505183
**,S,MORGAN,10-8-180    Snow and ice removal.,1/13/2015,11:15 AM,Transportation,1/1/1900,13,2015,41.8816942,-87.6520559
8**,S,WELLS,10-8-180    Snow and ice removal.,1/13/2015,9:30 AM,Transportation,1/1/1900,13,2015,41.8714475,-87.634244
2**,S,DES PLAINES,10-8-180    Snow and ice removal.,1/13/2015,9:45 AM,Transportation,1/1/1900,13,2015,41.8792559,-87.6440425
6**,S,WABASH,10-8-180    Snow and ice removal.,1/13/2015,8:15 AM,Transportation,1/1/1900,13,2015,41.8742714,-87.626304
36**,W,DICKENS,10-8-180    Snow and ice removal.,1/13/2015,3:15 AM,Transportation,1/1/1900,13,2015,41.9191086,-87.7168296
16**,W,79TH,10-8-180    Snow and ice removal.,1/13/2015,2:15 AM,Transportation,1/1/1900,13,2015,41.7503396,-87.663523
83**,S,HERMITAGE,10-8-180    Snow and ice removal.,1/14/2015,6:37 AM,Police,1/1/1900,14,2015,41.742758,-87.667169
7**,N,TRUMBULL,10-8-180    Snow and ice removal.,1/14/2015,12:00 PM,Streets and Sanitation,1/1/1900,14,2015,41.89366,-87.7125887
52**,N,WESTERN,10-8-180    Snow and ice removal.,1/14/2015,11:50 AM,Transportation,1/1/1900,14,2015,41.9758945,-87.6892147
42**,W,BRYN MAWR,10-8-180    Snow and ice removal.,1/14/2015,10:50 AM,Transportation,1/1/1900,14,2015,41.982945,-87.7334834
32**,N,KIMBALL,10-8-180    Snow and ice removal.,1/14/2015,1:40 AM,Transportation,1/1/1900,14,2015,41.9395151,-87.7127127
50**,N,PULASKI,10-8-180    Snow and ice removal.,1/14/2015,11:30 AM,Transportation,1/1/1900,14,2015,41.9718807,-87.7281253
66**,S,STONY ISLAND,10-8-180    Snow and ice removal.,1/14/2015,11:14 AM,Transportation,1/1/1900,14,2015,41.7751579,-87.586328
56**,N,MILWAUKEE,10-8-180    Snow and ice removal.,1/15/2015,12:00 PM,Streets and Sanitation,1/1/1900,15,2015,41.9830479,-87.774826
66**,S,STONY ISLAND,10-8-180    Snow and ice removal.,1/15/2015,10:14 AM,Transportation,1/1/1900,15,2015,41.7751579,-87.586328
25**,W,58TH,10-8-180    Snow and ice removal.,1/15/2015,8:04 AM,Transportation,1/1/1900,15,2015,41.7883883,-87.6864515
4**,N,SANGAMON,10-8-180    Snow and ice removal.,1/15/2015,8:59 AM,Transportation,1/1/1900,15,2015,41.8890102,-87.6510645
25**,W,CERMAK,10-8-180    Snow and ice removal.,1/15/2015,10:46 AM,Transportation,1/1/1900,15,2015,41.8520077,-87.6876028
**,E,76TH,10-8-180    Snow and ice removal.,1/15/2015,4:23 AM,Transportation,1/1/1900,15,2015,41.7564388,-87.624713
75**,S,BLACKSTONE,10-8-180    Snow and ice removal.,1/15/2015,4:33 AM,Transportation,1/1/1900,15,2015,41.7587353,-87.5883556
15**,E,75TH,10-8-180    Snow and ice removal.,1/15/2015,4:17 AM,Transportation,1/1/1900,15,2015,41.7590239,-87.5880899
58**,W,IRVING PARK,10-8-180    Snow and ice removal.,1/16/2015,12:00 PM,Streets and Sanitation,1/1/1900,16,2015,41.9533975,-87.7722081
55**,W,MONTROSE,10-8-180    Snow and ice removal.,1/16/2015,12:00 PM,Streets and Sanitation,1/1/1900,16,2015,41.9608662,-87.764999
23**,W,JACKSON,10-8-180    Snow and ice removal.,1/16/2015,11:15 AM,Transportation,1/1/1900,16,2015,41.877848,-87.684441
**,E,66TH,10-8-180    Snow and ice removal.,1/16/2015,1:08 AM,Transportation,1/1/1900,16,2015,41.7746166,-87.6239718
*,W,58TH,10-8-180    Snow and ice removal.,1/16/2015,1:37 AM,Transportation,1/1/1900,16,2015,41.7868961,-87.7193116
2**,W,99TH,10-8-180    Snow and ice removal.,1/27/2015,5:23 AM,Police,1/1/1900,27,2015,41.7141352,-87.6285214
101**,S,EBERHART,10-8-180    Snow and ice removal.,1/27/2015,5:35 AM,Police,1/1/1900,27,2015,41.7108614,-87.6116476
**,E,101,10-8-180    Snow and ice removal.,1/27/2015,10:00 AM,Police,1/1/1900,27,2015,41.7108113,-87.6235295
**,E,101,10-8-180    Snow and ice removal.,1/27/2015,10:30 AM,Police,1/1/1900,27,2015,41.7108113,-87.6235295
102**,S,STATE,10-8-180    Snow and ice removal.,1/27/2015,10:45 AM,Police,1/1/1900,27,2015,41.7088356,-87.6238895
109**,S,WENTWORTH,10-8-180    Snow and ice removal.,1/27/2015,11:00 AM,Police,1/1/1900,27,2015,41.6960018,-87.6283027
105**,S,STATE,10-8-180    Snow and ice removal.,1/27/2015,11:10 AM,Police,1/1/1900,27,2015,41.8781136,-87.6297982
61**,S,GREENWOOD,10-8-180    Snow and ice removal.,1/27/2015,12:00 PM,Streets and Sanitation,1/1/1900,27,2015,41.7840868,-87.5995208
59**,N,ELSTON,10-8-180    Snow and ice removal.,1/27/2015,12:49 PM,Transportation,1/1/1900,27,2015,41.9887332,-87.7755129
59**,W,PETERSON,10-8-180    Snow and ice removal.,1/27/2015,12:36 PM,Transportation,1/1/1900,27,2015,41.9901782,-87.7505887
23**,W,JACKSON,10-8-180    Snow and ice removal.,1/27/2015,10:15 AM,Transportation,1/1/1900,27,2015,41.877848,-87.684441
7**,N,MILWAUKEE,10-8-180    Snow and ice removal.,1/28/2015,12:00 PM,Streets and Sanitation,1/1/1900,28,2015,41.8949067,-87.6538063
7**,E,104TH,10-8-180    Snow and ice removal.,1/29/2015,7:35 AM,Police,1/1/1900,29,2015,41.7056274,-87.6068612
7**,E,104TH,10-8-180    Snow and ice removal.,1/29/2015,7:40 AM,Police,1/1/1900,29,2015,41.7056274,-87.6068612
3**,W,106TH,10-8-180    Snow and ice removal.,1/29/2015,8:00 AM,Police,1/1/1900,29,2015,41.7008906,-87.6306966
**,E,101ST,10-8-180    Snow and ice removal.,1/29/2015,7:26 AM,Police,1/1/1900,29,2015,41.7108113,-87.6235295
38**,N,WESTERN,10-8-180    Snow and ice removal.,2/2/2015,11:15 AM,Police,1/2/1900,2,2015,41.9504997,-87.6886394
36**,N,WESTERN,10-8-180    Snow and ice removal.,2/2/2015,11:31 AM,Police,1/2/1900,2,2015,41.9468615,-87.6885182
34**,N,WESTERN,10-8-180    Snow and ice removal.,2/2/2015,11:44 AM,Police,1/2/1900,2,2015,41.9435709,-87.6900603
**,S,ELLIS,10-8-180    Snow and ice removal.,2/2/2015,3:49 AM,Police,1/2/1900,2,2015,41.7804559,-87.6010685
*,S,INGLESIDE,10-8-180    Snow and ice removal.,2/2/2015,4:26 AM,Police,1/2/1900,2,2015,41.7606407,-87.6017403
82**,S,ELLIS,10-8-180    Snow and ice removal.,2/2/2015,3:56 AM,Police,1/2/1900,2,2015,41.7456303,-87.6005456
82**,S,ELLIS,10-8-180    Snow and ice removal.,2/2/2015,4:03 AM,Police,1/2/1900,2,2015,41.7456303,-87.6005456
9**,E,83RD,10-8-180    Snow and ice removal.,2/2/2015,4:12 AM,Police,1/2/1900,2,2015,41.7441845,-87.6022989
82**,S,INGLESIDE,10-8-180    Snow and ice removal.,2/2/2015,4:20 AM,Police,1/2/1900,2,2015,41.745692,-87.601735
81**,S,INGLESIDE,10-8-180    Snow and ice removal.,2/2/2015,4:42 AM,Police,1/2/1900,2,2015,41.7474931,-87.6017913
80**,S,INGLESIDE,10-8-180    Snow and ice removal.,2/2/2015,4:49 AM,Police,1/2/1900,2,2015,41.7493446,-87.6017385
82**,S,DREXEL,10-8-180    Snow and ice removal.,2/2/2015,5:22 AM,Police,1/2/1900,2,2015,41.7456429,-87.6027935
9**,E,82ND,10-8-180    Snow and ice removal.,2/2/2015,3:35 AM,Police,1/2/1900,2,2015,41.7459599,-87.6023495
82**,S,ELLIS,10-8-180    Snow and ice removal.,2/2/2015,3:43 AM,Police,1/2/1900,2,2015,41.7456303,-87.6005456
65**,S,RHODES,10-8-180    Snow and ice removal.,2/2/2015,8:45 AM,Transportation,1/2/1900,2,2015,41.7765518,-87.6121983
33**,N,WESTERN,10-8-180    Snow and ice removal.,2/3/2015,2:38 AM,Police,1/2/1900,3,2015,41.9413669,-87.6899035
82**,S,MARYLAND,10-8-180    Snow and ice removal.,2/3/2015,4:24 AM,Police,1/2/1900,3,2015,41.745601,-87.604151
82**,S,MARYLAND,10-8-180    Snow and ice removal.,2/3/2015,4:18 AM,Police,1/2/1900,3,2015,41.745601,-87.604151
2**,W,31ST,10-8-180    Snow and ice removal.,2/3/2015,3:10 AM,Transportation,1/2/1900,3,2015,41.8384586,-87.6320873
39**,W,111TH,10-8-180    Snow and ice removal.,2/3/2015,8:55 AM,Transportation,1/2/1900,3,2015,41.6913039,-87.7179037
39**,W,111TH,10-8-180    Snow and ice removal.,2/3/2015,8:55 AM,Transportation,1/2/1900,3,2015,41.6913039,-87.7179037
39**,W,111TH,10-8-180    Snow and ice removal.,2/3/2015,8:55 AM,Transportation,1/2/1900,3,2015,41.6913039,-87.7179037
37**,W,111TH,10-8-180    Snow and ice removal.,2/3/2015,10:10 AM,Transportation,1/2/1900,3,2015,41.6917303,-87.7135117
103**,S,CLAREMONT,10-8-180    Snow and ice removal.,2/3/2015,12:05 PM,Transportation,1/2/1900,3,2015,41.7063236,-87.6804068
23**,W,103RD,10-8-180    Snow and ice removal.,2/3/2015,12:05 PM,Transportation,1/2/1900,3,2015,41.7064358,-87.6792388
30**,S,HALSTED,10-8-180    Snow and ice removal.,2/3/2015,10:20 AM,Transportation,1/2/1900,3,2015,41.8396357,-87.6471548
**,W,ILLINOIS,10-8-180    Snow and ice removal.,2/4/2015,3:00 AM,Police,1/2/1900,4,2015,41.8908803,-87.6280557
78**,S,LAFLIN,10-8-180    Snow and ice removal.,2/4/2015,3:27 AM,Police,1/2/1900,4,2015,41.752014,-87.662347
78**,S,LAFLIN,10-8-180    Snow and ice removal.,2/4/2015,3:35 AM,Police,1/2/1900,4,2015,41.752014,-87.662347
78**,S,LAFIN,10-8-180    Snow and ice removal.,2/4/2015,3:38 AM,Police,1/2/1900,4,2015,41.752014,-87.662347
14**,W,77TH,10-8-180    Snow and ice removal.,2/4/2015,3:57 AM,Police,1/2/1900,4,2015,41.7540555,-87.6586976
79**,S,BISHOP,10-8-180    Snow and ice removal.,2/4/2015,4:08 AM,Police,1/2/1900,4,2015,41.7503959,-87.6598042
61**,S,GREENWOOD,10-8-180    Snow and ice removal.,2/4/2015,8:07 AM,Transportation,1/2/1900,4,2015,41.7840868,-87.5995208
65**,S,RHODES,10-8-180    Snow and ice removal.,2/4/2015,8:39 AM,Transportation,1/2/1900,4,2015,41.7765518,-87.6121983
35**,S,DAMEN,10-8-180    Snow and ice removal.,2/4/2015,2:30 AM,Transportation,1/2/1900,4,2015,41.8303914,-87.6752753
5**,W,35TH,10-8-180    Snow and ice removal.,2/4/2015,11:15 AM,Transportation,1/2/1900,4,2015,41.830985,-87.6389805
22**,S,MICHIGAN,10-8-180    Snow and ice removal.,2/5/2015,9:00 AM,Police,1/2/1900,5,2015,41.8526615,-87.6241779
22**,S,MICHIGAN,10-8-180    Snow and ice removal.,2/5/2015,5:30 AM,Police,1/2/1900,5,2015,41.8526615,-87.6241779
9**,E,82ND,10-8-180    Snow and ice removal.,2/5/2015,5:00 AM,Police,1/2/1900,5,2015,41.7459599,-87.6023495
81**,S,MARYLAND,10-8-180    Snow and ice removal.,2/5/2015,4:40 AM,Police,1/2/1900,5,2015,41.7475364,-87.6039078
82**,S,MARYLAND,10-8-180    Snow and ice removal.,2/5/2015,4:30 AM,Police,1/2/1900,5,2015,41.745601,-87.604151
9**,E,82ND,10-8-180    Snow and ice removal.,2/5/2015,5:07 AM,Police,1/2/1900,5,2015,41.7459599,-87.6023495
9**,E,82ND,10-8-180    Snow and ice removal.,2/5/2015,5:01 AM,Police,1/2/1900,5,2015,41.7459599,-87.6023495
8**,E,82ND,10-8-180    Snow and ice removal.,2/5/2015,4:55 AM,Police,1/2/1900,5,2015,41.7457904,-87.6050199
*,S,MARYLAND,10-8-180    Snow and ice removal.,2/5/2015,4:34 AM,Police,1/2/1900,5,2015,41.7540266,-87.6040275
82**,S,MARYLAND,10-8-180    Snow and ice removal.,2/5/2015,4:26 AM,Police,1/2/1900,5,2015,41.745601,-87.604151
82**,S,MARYLAND,10-8-180    Snow and ice removal.,2/5/2015,4:18 AM,Police,1/2/1900,5,2015,41.745601,-87.604151
82**,S,MARYLAND,10-8-180    Snow and ice removal.,2/5/2015,4:14 AM,Police,1/2/1900,5,2015,41.745601,-87.604151
23**,E,79TH,10-8-180    Snow and ice removal.,2/5/2015,10:00 AM,Transportation,1/2/1900,5,2015,41.7516894,-87.5686523
78**,S,CRANDON,10-8-180    Snow and ice removal.,2/5/2015,10:00 AM,Transportation,1/2/1900,5,2015,41.753357,-87.5689895
4**,N,SANGAMON,10-8-180    Snow and ice removal.,2/5/2015,1:13 AM,Transportation,1/2/1900,5,2015,41.8890102,-87.6510645
77**,S,MICHIGAN,10-8-180    Snow and ice removal.,2/5/2015,10:15 AM,Transportation,1/2/1900,5,2015,41.754496,-87.6218403
79**,S,THROOP,10-8-180    Snow and ice removal.,2/6/2015,7:45 AM,Police,1/2/1900,6,2015,41.7504538,-87.6561822
82**,S,ELIZABETH,10-8-180    Snow and ice removal.,2/6/2015,5:15 AM,Police,1/2/1900,6,2015,41.7448469,-87.6551259
82**,S,JUSTINE,10-8-180    Snow and ice removal.,2/6/2015,4:05 AM,Police,1/2/1900,6,2015,41.7448789,-87.6620825
14**,W,81ST,10-8-180    Snow and ice removal.,2/6/2015,3:55 AM,Police,1/2/1900,6,2015,41.7467729,-87.6584968
67**,S,DORCHESTER,10-8-180    Snow and ice removal.,2/6/2015,4:16 AM,Police,1/2/1900,6,2015,41.7731303,-87.5914405
24**,N,LINCOLN,10-8-180    Snow and ice removal.,2/6/2015,12:00 PM,Streets and Sanitation,1/2/1900,6,2015,41.9255728,-87.6492489
24**,N,CICERO,10-8-180    Snow and ice removal.,2/6/2015,12:00 PM,Streets and Sanitation,1/2/1900,6,2015,41.9242812,-87.7463576
21**,S,PRAIRIE,10-8-180    Snow and ice removal.,2/6/2015,10:00 AM,Transportation,1/2/1900,6,2015,41.854103,-87.621154
14**,W,15TH,10-8-180    Snow and ice removal.,2/6/2015,11:30 AM,Transportation,1/2/1900,6,2015,41.8615216,-87.6614411
32**,S,ARCHER,10-8-180    Snow and ice removal.,2/6/2015,8:30 AM,Transportation,1/2/1900,6,2015,41.8361685,-87.6688775
4**,E,87TH,10-8-180    Snow and ice removal.,2/6/2015,9:08 AM,Transportation,1/2/1900,6,2015,41.7367811,-87.6141172
3**,E,87TH,10-8-180    Snow and ice removal.,2/6/2015,9:10 AM,Transportation,1/2/1900,6,2015,41.7367106,-87.6175121
28**,S,HALSTED,10-8-180    Snow and ice removal.,2/6/2015,3:00 AM,Transportation,1/2/1900,6,2015,41.8434758,-87.6464289
10**,W,31ST,10-8-180    Snow and ice removal.,2/6/2015,2:00 AM,Transportation,1/2/1900,6,2015,41.836848,-87.6700393
13**,N,WELLS,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.9057272,-87.6345481
54**,S,UNION,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.796033,-87.6430733
4**,W,WRIGHTWOOD,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.9313456,-87.6393299
6**,W,WRIGHTWOOD,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.9296712,-87.6429606
54**,S,UNION,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.796033,-87.6430733
13**,N,WELLS,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.9057272,-87.6345481
13**,N,WELLS,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.9057272,-87.6345481
18**,N,SEDGWICK,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.914948,-87.6389362
14**,N,ASTOR,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.907921,-87.62791
53**,S,EMERALD,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.7978,-87.644364
7**,W,54TH,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.7953661,-87.643103
53**,S,EMERALD,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.7978,-87.644364
7**,W,54TH,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.7953661,-87.643103
1**,W,EUGENIE,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.9131844,-87.6335698
30**,N,ASHLAND,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.9361989,-87.6688442
18**,N,HUDSON,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.9147745,-87.6401945
49**,S,HALSTED,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.805199,-87.6454398
7**,W,54TH,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.7953661,-87.643103
4**,W,WRIGHTWOOD,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.9313456,-87.6393299
51**,S,EMERALD,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.8014273,-87.6443825
8**,W,WRIGHTWOOD,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.9290807,-87.6488814
53**,S,EMERALD,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.7978,-87.644364
53**,S,EMERALD,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Streets and Sanitation,1/2/1900,7,2015,41.7978,-87.644364
8**,W,82ND,10-8-180    Snow and ice removal.,2/7/2015,11:15 AM,Transportation,1/2/1900,7,2015,41.7451765,-87.6438714
81**,S,HALSTED,10-8-180    Snow and ice removal.,2/7/2015,11:00 AM,Transportation,1/2/1900,7,2015,41.7467977,-87.6444113
14**,E,87TH,10-8-180    Snow and ice removal.,2/7/2015,1:15 AM,Transportation,1/2/1900,7,2015,41.7370898,-87.5898582
66**,S,HALSTED,10-8-180    Snow and ice removal.,2/7/2015,8:30 AM,Transportation,1/2/1900,7,2015,41.7742944,-87.6446437
7**,W,66TH,10-8-180    Snow and ice removal.,2/7/2015,8:50 AM,Transportation,1/2/1900,7,2015,41.7743131,-87.642677
86**,S,DANTE,10-8-180    Snow and ice removal.,2/7/2015,1:25 AM,Transportation,1/2/1900,7,2015,41.7385429,-87.5893539
13**,W,87TH,10-8-180    Snow and ice removal.,2/7/2015,11:50 AM,Transportation,1/2/1900,7,2015,41.7361866,-87.6559909
86**,S,LOOMIS,10-8-180    Snow and ice removal.,2/7/2015,12:00 PM,Transportation,1/2/1900,7,2015,41.7375402,-87.6585157
80**,S,HALSTED,10-8-180    Snow and ice removal.,2/7/2015,10:45 AM,Transportation,1/2/1900,7,2015,41.748689,-87.6443369
80**,S,HALSTED,10-8-180    Snow and ice removal.,2/7/2015,1:30 AM,Transportation,1/2/1900,7,2015,41.748689,-87.6443369
23**,S,WENTWORTH,10-8-180    Snow and ice removal.,2/7/2015,8:52 AM,Transportation,1/2/1900,7,2015,41.850827,-87.632193
28**,W,55TH,10-8-180    Snow and ice removal.,2/7/2015,8:15 AM,Transportation,1/2/1900,7,2015,41.7939145,-87.6941031
*,N,ASHLAND,10-8-180    Snow and ice removal.,2/7/2015,10:40 AM,Transportation,1/2/1900,7,2015,41.8814961,-87.6668837
31**,S,HALSTED,10-8-180    Snow and ice removal.,2/7/2015,1:45 AM,Transportation,1/2/1900,7,2015,41.837714,-87.6460986
12**,S,WESTERN,10-8-180    Snow and ice removal.,2/7/2015,2:20 AM,Transportation,1/2/1900,7,2015,41.866355,-87.686491
68**,W,63RD,10-8-180    Snow and ice removal.,2/7/2015,9:46 AM,Transportation,1/2/1900,7,2015,41.7778608,-87.791432
67**,W,63RD,10-8-180    Snow and ice removal.,2/7/2015,9:30 AM,Transportation,1/2/1900,7,2015,41.7777824,-87.7887339
71**,S,DR MARTIN LUT,10-8-180    Snow and ice removal.,2/7/2015,9:00 AM,Transportation,1/2/1900,7,2015,41.765452,-87.6157247
53**,S,ASHLAND,10-8-180    Snow and ice removal.,2/7/2015,8:27 AM,Transportation,1/2/1900,7,2015,41.7975386,-87.664998
23**,W,LAKE,10-8-180    Snow and ice removal.,2/7/2015,1:50 AM,Transportation,1/2/1900,7,2015,41.8853178,-87.6844403
23**,S,MICHIGAN,10-8-180    Snow and ice removal.,2/7/2015,11:25 AM,Transportation,1/2/1900,7,2015,41.8508112,-87.624224
**,W,GARFIELD,10-8-180    Snow and ice removal.,2/7/2015,10:32 AM,Transportation,1/2/1900,7,2015,41.7948628,-87.6261387
28**,W,63RD,10-8-180    Snow and ice removal.,2/7/2015,9:02 AM,Transportation,1/2/1900,7,2015,41.7793409,-87.6937222
12**,S,WESTERN,10-8-180    Snow and ice removal.,2/7/2015,2:10 AM,Transportation,1/2/1900,7,2015,41.866355,-87.686491
55**,S,ASHLAND,10-8-180    Snow and ice removal.,2/7/2015,3:00 AM,Transportation,1/2/1900,7,2015,41.7936347,-87.6646683
15**,W,GRAND,10-8-180    Snow and ice removal.,2/7/2015,11:00 AM,Transportation,1/2/1900,7,2015,41.8911133,-87.6658231
27**,S,WELLS,10-8-180    Snow and ice removal.,2/7/2015,1:10 AM,Transportation,1/2/1900,7,2015,41.8439148,-87.6332802
49**,S,HALSTED,10-8-180    Snow and ice removal.,2/7/2015,2:05 AM,Transportation,1/2/1900,7,2015,41.805199,-87.6454398
51**,S,HALSTED,10-8-180    Snow and ice removal.,2/7/2015,2:25 AM,Transportation,1/2/1900,7,2015,41.80129,-87.645714
